"","Site","DateTime","Discharge","fDOM","NO3","SpCond","Turb","day"
"124","CARI",2019-07-26 09:19:00,185.86,NA,NA,107.62,1.27,2019-07-26
"125","CARI",2019-07-26 09:20:00,173.35,NA,NA,107.63,2.59,2019-07-26
"126","CARI",2019-07-26 09:21:00,189.16,NA,NA,107.69,1.27,2019-07-26
"127","CARI",2019-07-26 09:22:00,180,NA,NA,107.69,1.26,2019-07-26
"128","CARI",2019-07-26 09:23:00,191.76,NA,NA,107.79,1.24,2019-07-26
"129","CARI",2019-07-26 09:24:00,188.44,NA,NA,107.8,1.28,2019-07-26
"130","CARI",2019-07-26 09:25:00,192.6,NA,NA,107.8,2.59,2019-07-26
"131","CARI",2019-07-26 09:26:00,183.25,NA,NA,107.87,1.29,2019-07-26
"132","CARI",2019-07-26 09:27:00,185.12,NA,NA,107.88,1.29,2019-07-26
"133","CARI",2019-07-26 09:28:00,185.2,NA,NA,107.9,1.32,2019-07-26
"134","CARI",2019-07-26 09:29:00,194.63,NA,NA,107.91,1.35,2019-07-26
"135","CARI",2019-07-26 09:30:00,188.11,NA,NA,107.88,2.76,2019-07-26
"136","CARI",2019-07-26 09:31:00,187.39,NA,NA,107.93,1.45,2019-07-26
"137","CARI",2019-07-26 09:32:00,191.55,NA,NA,107.94,1.45,2019-07-26
"138","CARI",2019-07-26 09:33:00,192.26,NA,NA,107.95,1.38,2019-07-26
"139","CARI",2019-07-26 09:34:00,187.39,NA,NA,107.94,1.45,2019-07-26
"140","CARI",2019-07-26 09:35:00,188.48,NA,NA,107.96,2.7,2019-07-26
"141","CARI",2019-07-26 09:36:00,193.75,NA,NA,107.95,1.46,2019-07-26
"142","CARI",2019-07-26 09:37:00,195.1,NA,NA,107.95,1.46,2019-07-26
"143","CARI",2019-07-26 09:38:00,197.83,NA,NA,107.94,1.45,2019-07-26
"144","CARI",2019-07-26 09:39:00,197.74,NA,NA,107.92,1.41,2019-07-26
"145","CARI",2019-07-26 09:40:00,193.75,NA,NA,107.86,2.92,2019-07-26
"146","CARI",2019-07-26 09:41:00,199.19,NA,NA,107.87,1.44,2019-07-26
"147","CARI",2019-07-26 09:42:00,193.23,NA,NA,107.87,1.44,2019-07-26
"148","CARI",2019-07-26 09:43:00,197.1,NA,NA,107.85,1.46,2019-07-26
"149","CARI",2019-07-26 09:44:00,196.97,NA,NA,107.82,1.5,2019-07-26
"150","CARI",2019-07-26 09:45:00,206.24,NA,NA,107.81,3.06,2019-07-26
"151","CARI",2019-07-26 09:46:00,193.79,NA,NA,107.8,1.46,2019-07-26
"152","CARI",2019-07-26 09:47:00,197.4,NA,NA,107.8,1.46,2019-07-26
"153","CARI",2019-07-26 09:48:00,199.75,NA,NA,107.81,1.51,2019-07-26
"154","CARI",2019-07-26 09:49:00,196.42,NA,NA,107.82,1.56,2019-07-26
"155","CARI",2019-07-26 09:50:00,203.59,NA,NA,107.79,2.85,2019-07-26
"156","CARI",2019-07-26 09:51:00,191.42,NA,NA,107.8,1.5,2019-07-26
"157","CARI",2019-07-26 09:52:00,201.22,NA,NA,107.8,1.48,2019-07-26
"158","CARI",2019-07-26 09:53:00,201.86,NA,NA,107.81,1.52,2019-07-26
"159","CARI",2019-07-26 09:54:00,194.33,NA,NA,107.8,1.56,2019-07-26
"160","CARI",2019-07-26 09:55:00,195.57,NA,NA,107.77,2.92,2019-07-26
"161","CARI",2019-07-26 09:56:00,202.34,NA,NA,107.79,1.54,2019-07-26
"162","CARI",2019-07-26 09:57:00,203.41,NA,NA,107.79,1.54,2019-07-26
"163","CARI",2019-07-26 09:58:00,197.87,NA,NA,107.83,1.6,2019-07-26
"164","CARI",2019-07-26 09:59:00,200.06,NA,NA,107.82,1.48,2019-07-26
"165","CARI",2019-07-26 10:00:00,188.48,NA,NA,107.78,2.97,2019-07-26
"166","CARI",2019-07-26 10:01:00,192.78,NA,NA,107.81,1.54,2019-07-26
"167","CARI",2019-07-26 10:02:00,189.57,NA,NA,107.81,1.54,2019-07-26
"168","CARI",2019-07-26 10:03:00,200.65,NA,NA,107.78,1.62,2019-07-26
"169","CARI",2019-07-26 10:04:00,201.99,NA,NA,107.78,1.55,2019-07-26
"170","CARI",2019-07-26 10:05:00,196.16,NA,NA,107.71,3.1,2019-07-26
"171","CARI",2019-07-26 10:06:00,197.53,NA,NA,107.75,1.54,2019-07-26
"172","CARI",2019-07-26 10:07:00,198.85,NA,NA,107.75,1.54,2019-07-26
"173","CARI",2019-07-26 10:08:00,196.5,NA,NA,107.69,1.58,2019-07-26
"174","CARI",2019-07-26 10:09:00,202.51,NA,NA,107.68,1.56,2019-07-26
"175","CARI",2019-07-26 10:10:00,201.46,NA,NA,107.62,3.03,2019-07-26
"176","CARI",2019-07-26 10:11:00,187.01,NA,NA,107.61,1.71,2019-07-26
"177","CARI",2019-07-26 10:12:00,207.94,NA,NA,107.61,1.71,2019-07-26
