"","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month.x","day.x","response_var","Flush_index","FI_ymin","FI_ymax","month.y","day.y"
"124",0.263853114563474,0.182901083708542,0.310171851972039,"MOOS","storm7c","08","15","turb",0.0636,0.0562,0.0725,"08","15"
"125",0.615303707599264,0.514856692085196,0.681435708651065,"MOOS","storm8","09","21","NO3",-0.2406,-0.254,-0.207,"09","21"
"126",-0.614888898810851,-0.756604307124452,-0.447180425949899,"MOOS","storm8","09","21","fDOM",NA,NA,NA,"09","21"
"127",0.897994129158527,0.873287671232887,0.912059686888466,"MOOS","storm8","09","21","SPC",NA,NA,NA,"09","21"
"128",0.070930280698849,0.0447475918412406,0.0957605365570917,"MOOS","storm8","09","21","turb",NA,NA,NA,"09","21"
"129",0.308446455505279,0.308446455505279,0.360105580693816,"MOOS","storm9","10","02","NO3",-0.0554,-0.0632,-0.0339,"10","02"
"130",-0.547529940119761,-0.586826347305389,-0.50748502994012,"MOOS","storm9","10","02","fDOM",NA,NA,NA,"10","02"
"131",0.674107142857143,0.642857142857143,0.693452380952381,"MOOS","storm9","10","02","SPC",NA,NA,NA,"10","02"
"132",0.0464063483185346,0.0227924211703838,0.0707718660420891,"MOOS","storm9","10","02","turb",NA,NA,NA,"10","02"
"133",-0.12722035525686,-0.186629860777722,-0.071291406625072,"POKE","storm1","06","30","NO3",0.0247,0.0112,0.0368,"06","30"
"134",0.389493778280541,0.247808257918553,0.513009049773754,"POKE","storm1","06","30","fDOM",-0.8269,-0.8288,-0.8249,"06","30"
"135",0.704876273653557,0.639374090247434,0.839883551673956,"POKE","storm1","06","30","SPC",-0.3438,-0.348,-0.3409,"06","30"
"136",-0.342950223976443,-0.397847946621558,-0.33733515020518,"POKE","storm1","06","30","turb",0.1514,0.1399,0.167,"06","30"
"137",0.100472813238766,-0.0353132387706889,0.203752955082727,"POKE","storm2","07","12","NO3",0.5257,0.5149,0.5378,"07","12"
"138",-0.288760139049806,-0.304519119351098,-0.203823870220159,"POKE","storm2","07","12","fDOM",-0.0513,-0.0549,-0.0474,"07","12"
"139",0.531354051054362,0.463096559378433,0.690899001109865,"POKE","storm2","07","12","SPC",-0.3949,-0.3994,-0.3921,"07","12"
"140",0.157686105885513,0.132222520827734,0.254407417360922,"POKE","storm2","07","12","turb",0.2781,0.2718,0.2838,"07","12"
"141",-0.321666444651661,-0.441787664846147,-0.220993739176774,"POKE","storm3","07","12","fDOM",-0.0409,-0.0433,-0.0384,"07","26"
"142",0.844004065040638,0.777845528455283,0.918699186991864,"POKE","storm3","07","12","SPC",-0.5021,-0.5032,-0.5007,"07","26"
"143",-0.0380393427838674,-0.0701039934616575,-0.030902122142998,"POKE","storm3","07","12","turb",0.4662,0.4429,0.4944,"07","26"
"144",0.545454545454545,0.436363636363636,0.577272727272726,"POKE","storm4","07","31","NO3",0.6091,0,0,"07","31"
"145",-0.00651711673399861,-0.0666914735275359,0.127493089517327,"POKE","storm4","07","31","fDOM",0.223,0.2079,0.2361,"07","31"
"146",0.696214662194526,0.667704839482328,0.724964063248701,"POKE","storm4","07","31","SPC",-0.2144,-0.2292,-0.1992,"07","31"
"147",0.139579101782893,0.119154818325433,0.155359963890769,"POKE","storm4","07","31","turb",0.6796,0.663,0.6933,"07","31"
"148",-0.425665399239544,-0.427186311787072,-0.422053231939163,"POKE","storm5a","08","02","NO3",0.3571,0,0,"08","02"
"149",-0.355549658720682,-0.367831923357995,-0.334861245369405,"POKE","storm5a","08","02","fDOM",0.1154,0.107,0.1183,"08","02"
"150",0.831325172280953,0.800603518383766,0.848371356418265,"POKE","storm5a","08","02","SPC",-0.6496,-0.6513,-0.648,"08","02"
"151",-0.427702044790653,-0.457643622200584,-0.338972736124635,"POKE","storm5b","08","03","NO3",0.1879,0,0,"08","03"
