"","X","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month.x","day.x","response_var","Flush_index","FI_ymin","FI_ymax","month.y","day.y","Parameter","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"45",45,0.880630630630676,0.59177927927929,0.925112612612635,"MOOS","storm3a",8,6,"SPC",NA,NA,NA,8,6,"Q.norm",0.145107662774782,0.00850495080005875,0.95,0.128076792564695,0.162138532984869,17.0615522871431,57,4.60776195921456e-24
"46",46,-0.34451101662157,-0.349962482093726,-0.341844971463653,"MOOS","storm3a",8,6,"turb",0.497,0.429,0.6671,8,6,"Q.norm",-0.284435400954845,0.058134254866799,0.95,-0.400892307463897,-0.167978494445794,-4.892733236309,56,8.78432002436256e-06
"47",47,-0.482031508487946,-0.488660213216764,-0.337765009798685,"MOOS","storm3b",8,8,"fDOM",-0.104,-0.1045,-0.1035,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,0.284349696356275,0.247332574224023,0.295936656545208,"MOOS","storm3b",8,8,"SPC",-0.0711,-0.0714,-0.0709,8,8,"Q.norm",0.116920623839565,0.0126462064697041,0.95,0.0917678277995326,0.142073419879597,9.24550964114544,83,2.10692196057983e-14
"49",49,-0.165877879998927,-0.205125660488694,-0.162899981224686,"MOOS","storm3b",8,8,"turb",0.2196,0.1371,0.5305,8,8,"Q.norm",1.80771464998128,0.14298485304821,0.95,1.52327222842303,2.09215707153953,12.6427003381385,82,5.9277302712032e-21
"50",50,0.82131108450855,0.754609623638645,0.871299162019328,"MOOS","storm4a",8,15,"fDOM",-0.9355,-0.9363,-0.9346,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,0.85145437485339,0.835884353741497,0.862743373211351,"MOOS","storm4a",8,15,"SPC",-0.6736,-0.6753,-0.673,8,15,"Q.norm",-0.129549655138674,0.0142962889280198,0.95,-0.157862706216255,-0.101236604061093,-9.06176811275584,117,3.51084661419539e-15
"52",52,-0.395123788111412,-0.407098001863432,-0.373447889656012,"MOOS","storm4a",8,15,"turb",0.6799,0.6578,0.7161,8,15,"Q.norm",1.32992955012111,0.0659549535867548,0.95,1.1992974540562,1.46056164618602,20.164210234365,116,1.01670183651678e-39
"53",53,-0.433726370732624,-0.621026521207561,-0.275902065895485,"MOOS","storm4b",8,17,"fDOM",-0.0427,-0.0475,-0.0393,8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,0.130332764505117,0.0172781569965868,0.17391922639363,"MOOS","storm4b",8,17,"SPC",-0.1775,-0.1806,-0.1763,8,17,"Q.norm",5.70209921754717,0.667687553970516,0.95,4.35557893593332,7.04861949916102,8.54007115100271,43,8.25913451768458e-11
"55",55,0.0420820864682341,-0.00971983694015722,0.101443075459826,"MOOS","storm4b",8,17,"turb",0.0773,0.0444,0.1356,8,17,"Q.norm",-0.970911334514171,0.117383644807862,0.95,-1.20748252602996,-0.734340142998382,-8.27126586589976,44,1.65053941283804e-10
"56",56,0.759510571114765,0.755299286106528,0.773462383305869,"MOOS","storm5a",8,19,"fDOM",-0.567,-0.57,-0.5649,8,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,0.0744177583697052,-0.00545851528384245,0.100072780203822,"MOOS","storm5a",8,19,"SPC",-0.0864,-0.0955,-0.0818,8,19,"Q.norm",-0.0973956104737247,0.0107217896770405,0.95,-0.118713400799305,-0.0760778201481444,-9.0838948913805,85,3.65169687466665e-14
"58",58,-0.138542126970099,-0.151940639269407,-0.123724038886434,"MOOS","storm5a",8,19,"turb",0.1001,-0.0102,0.1424,8,19,"Q.norm",-0.0164737540100094,0.0610428063533085,0.95,-0.137864068823525,0.104916560803506,-0.269872160114352,84,0.787920491150036
"59",59,-0.340461871224708,-0.741869114505026,-0.176828624937347,"MOOS","storm5b",8,21,"fDOM",-0.2166,-0.2192,-0.2136,8,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
