"","X.1","X","site.ID","year","storm.num","response","HI","precip","precip.week","precip.month","ThreeMonth","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"78",78,78,"FRCH",2019,"storm2","fDOM",-0.510034445514785,0,12.6,76.8,82,28,0,165.822916666667,"unburned","medium",2019-06-15,28.8229166666679
"79",79,79,"FRCH",2019,"storm3","fDOM",-0.744213886671989,5.2,12.2,77,83.4,50,0.104,168.197916666667,"unburned","medium",2019-06-18,31.1979166666679
"80",80,80,"FRCH",2019,"storm4","fDOM",-0.0408390257055615,2.6,36.8,97.6,108,48,0.0541666666666667,170.364583333333,"unburned","medium",2019-06-20,33.3645833333321
"81",81,81,"FRCH",2019,"storm5","fDOM",-0.150612551941569,6.4,37.6,109,119.6,57,0.112280701754386,172.40625,"unburned","medium",2019-06-22,35.40625
"82",82,82,"FRCH",2019,"storm6","fDOM",-0.375561067800617,9.4,2.4,60,131.2,64,0.146875,192.114583333333,"unburned","medium",2019-07-12,55.1145833333321
"83",83,83,"FRCH",2019,"storm7","fDOM",-0.418788279092107,11.2,3.8,25.4,149.4,33,0.339393939393939,205.78125,"unburned","medium",2019-07-25,68.78125
"84",84,84,"FRCH",2019,"storm8","fDOM",-0.435211267605634,5.8,19.4,41.2,165.2,26,0.223076923076923,208.114583333333,"unburned","medium",2019-07-28,71.1145833333321
"85",85,85,"FRCH",2019,"storm9a","fDOM",-0.280288054221979,6.4,25.2,42.2,171,15,0.426666666666667,209.28125,"unburned","medium",2019-07-29,72.28125
"86",86,86,"FRCH",2019,"storm9b","fDOM",-0.626582219050475,0,36.6,53.6,182.4,37,0,210.03125,"unburned","medium",2019-07-30,73.03125
"87",87,87,"FRCH",2019,"storm1","SPC",0.80210983884648,51.8,8.6,19.2,19.2,248,0.208870967741935,150.53125,"unburned","medium",2019-05-31,13.53125
"88",88,88,"FRCH",2019,"storm10a","SPC",0.776691331923943,12.6,43.2,60.4,189.2,30,0.42,212.03125,"unburned","medium",2019-08-01,75.03125
