"","X","site.ID","year","storm.num","response","HI","precip","precip.week","precip.month","ThreeMonth","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"46",46,"FRCH",2020,"storm9a","NO3",0.955248169243303,14.8,9,145.6,266,34.5,0.428985507246377,213.15625,"unburned","medium",2020-08-01,80.15625
"47",47,"FRCH",2020,"storm9b","NO3",0.00595238095238415,13,20.6,160.4,280.8,67.5,0.192592592592593,214.78125,"unburned","medium",2020-08-02,81.78125
"48",48,"FRCH",2020,"storm1","fDOM",-0.368190061661226,18,0.2,0.2,0.2,121.5,0.148148148148148,164.114583333333,"unburned","medium",2020-06-13,31.1145833333321
"49",49,"FRCH",2020,"storm10a","fDOM",-0.139005055147056,23.8,14.6,112,295.2,63.5,0.374803149606299,221.072916666667,"unburned","medium",2020-08-09,88.0729166666679
"50",50,"FRCH",2020,"storm10b","fDOM",0.0316349564656627,3.6,28.2,133.6,321.8,113.5,0.0317180616740088,224.03125,"unburned","medium",2020-08-12,91.03125
"51",51,"FRCH",2020,"storm11","fDOM",-0.0364104248795352,6,1.4,71.4,325.6,22.5,0.266666666666667,232.072916666667,"unburned","medium",2020-08-20,99.0729166666679
"52",52,"FRCH",2020,"storm12","fDOM",0.59332191780821,6.6,7.4,55.4,333,16.5,0.4,249.40625,"unburned","medium",2020-09-06,116.40625
"53",53,"FRCH",2020,"storm2","fDOM",-0.272969528443981,0,NA,NA,NA,NA,NA,NA,"unburned","medium",NA,NA
"54",54,"FRCH",2020,"storm3a","fDOM",-0.0505509495464838,40.6,26.6,26.8,26.8,39.5,1.02784810126582,170.989583333333,"unburned","medium",2020-06-19,37.9895833333321
"55",55,"FRCH",2020,"storm3b","fDOM",-0.261596276295647,39.4,50.6,68.2,68.2,107.5,0.366511627906977,172.65625,"unburned","medium",2020-06-21,39.65625
"56",56,"FRCH",2020,"storm3c","fDOM",0.255174661813442,0,82.8,107.4,107.4,39.5,0,177.15625,"unburned","medium",2020-06-26,44.15625
"57",57,"FRCH",2020,"storm4a","fDOM",-0.0578201275706837,52,2.4,121.8,121.8,46.5,1.11827956989247,188.15625,"unburned","medium",2020-07-07,55.15625
"58",58,"FRCH",2020,"storm4b","fDOM",-0.397642902486821,9.2,53.8,174.2,174.2,50.5,0.182178217821782,190.15625,"unburned","medium",2020-07-09,57.15625
"59",59,"FRCH",2020,"storm5","fDOM",-0.172142857142845,3.4,19,173.2,191.4,6.5,0.523076923076923,196.90625,"unburned","medium",2020-07-15,63.90625
"60",60,"FRCH",2020,"storm6","fDOM",-0.141604938271602,10,24,180.4,207.2,25.5,0.392156862745098,199.114583333333,"unburned","medium",2020-07-18,66.1145833333321
"61",61,"FRCH",2020,"storm7","fDOM",-0.204299672179184,38.2,33,137.6,217.2,84.5,0.45207100591716,201.072916666667,"unburned","medium",2020-07-20,68.0729166666679
"62",62,"FRCH",2020,"storm8","fDOM",-0.172273447630016,9,39.8,149.6,257,95.5,0.0942408376963351,206.989583333333,"unburned","medium",2020-07-25,73.9895833333321
"63",63,"FRCH",2020,"storm9a","fDOM",-0.234053914708701,14.8,9,145.6,266,34.5,0.428985507246377,213.15625,"unburned","medium",2020-08-01,80.15625
"64",64,"FRCH",2020,"storm9b","fDOM",-0.1674851600975,13,20.6,160.4,280.8,67.5,0.192592592592593,214.78125,"unburned","medium",2020-08-02,81.78125
"65",65,"FRCH",2020,"storm1","SPC",-0.136544893233856,18,0.2,0.2,0.2,121.5,0.148148148148148,164.114583333333,"unburned","medium",2020-06-13,31.1145833333321
"66",66,"FRCH",2020,"storm10a","SPC",0.862973186119876,23.8,14.6,112,295.2,63.5,0.374803149606299,221.072916666667,"unburned","medium",2020-08-09,88.0729166666679
"67",67,"FRCH",2020,"storm10b","SPC",-0.213820078226859,3.6,28.2,133.6,321.8,113.5,0.0317180616740088,224.03125,"unburned","medium",2020-08-12,91.03125
"68",68,"FRCH",2020,"storm11","SPC",0.608391608391614,6,1.4,71.4,325.6,22.5,0.266666666666667,232.072916666667,"unburned","medium",2020-08-20,99.0729166666679
"69",69,"FRCH",2020,"storm12","SPC",-0.265822784810089,6.6,7.4,55.4,333,16.5,0.4,249.40625,"unburned","medium",2020-09-06,116.40625
"70",70,"FRCH",2020,"storm2","SPC",0.0765550239234317,0,NA,NA,NA,NA,NA,NA,"unburned","medium",NA,NA
"71",71,"FRCH",2020,"storm3a","SPC",0.976824109975325,40.6,26.6,26.8,26.8,39.5,1.02784810126582,170.989583333333,"unburned","medium",2020-06-19,37.9895833333321
"72",72,"FRCH",2020,"storm3b","SPC",0.178047404063204,39.4,50.6,68.2,68.2,107.5,0.366511627906977,172.65625,"unburned","medium",2020-06-21,39.65625
"73",73,"FRCH",2020,"storm3c","SPC",-0.531492248062012,0,82.8,107.4,107.4,39.5,0,177.15625,"unburned","medium",2020-06-26,44.15625
"74",74,"FRCH",2020,"storm4a","SPC",0.651676829268296,52,2.4,121.8,121.8,46.5,1.11827956989247,188.15625,"unburned","medium",2020-07-07,55.15625
"75",75,"FRCH",2020,"storm4b","SPC",-0.517526360786548,9.2,53.8,174.2,174.2,50.5,0.182178217821782,190.15625,"unburned","medium",2020-07-09,57.15625
"76",76,"FRCH",2020,"storm5","SPC",-0.725806451612843,3.4,19,173.2,191.4,6.5,0.523076923076923,196.90625,"unburned","medium",2020-07-15,63.90625
"77",77,"FRCH",2020,"storm6","SPC",0.222222222222219,10,24,180.4,207.2,25.5,0.392156862745098,199.114583333333,"unburned","medium",2020-07-18,66.1145833333321
"78",78,"FRCH",2020,"storm7","SPC",0.0324449227652567,38.2,33,137.6,217.2,84.5,0.45207100591716,201.072916666667,"unburned","medium",2020-07-20,68.0729166666679
"79",79,"FRCH",2020,"storm8","SPC",0.294753086419758,9,39.8,149.6,257,95.5,0.0942408376963351,206.989583333333,"unburned","medium",2020-07-25,73.9895833333321
"80",80,"FRCH",2020,"storm9a","SPC",0.288235294117643,14.8,9,145.6,266,34.5,0.428985507246377,213.15625,"unburned","medium",2020-08-01,80.15625
"81",81,"FRCH",2020,"storm9b","SPC",0.000351691636772567,13,20.6,160.4,280.8,67.5,0.192592592592593,214.78125,"unburned","medium",2020-08-02,81.78125
"82",82,"FRCH",2020,"storm1","turb",-0.158132653689155,18,0.2,0.2,0.2,121.5,0.148148148148148,164.114583333333,"unburned","medium",2020-06-13,31.1145833333321
"83",83,"FRCH",2020,"storm10a","turb",-0.0748646710721413,23.8,14.6,112,295.2,63.5,0.374803149606299,221.072916666667,"unburned","medium",2020-08-09,88.0729166666679
"84",84,"FRCH",2020,"storm10b","turb",0.12551219512195,3.6,28.2,133.6,321.8,113.5,0.0317180616740088,224.03125,"unburned","medium",2020-08-12,91.03125
"85",85,"FRCH",2020,"storm11","turb",-0.0195279646761978,6,1.4,71.4,325.6,22.5,0.266666666666667,232.072916666667,"unburned","medium",2020-08-20,99.0729166666679
"86",86,"FRCH",2020,"storm12","turb",-0.076641100834647,6.6,7.4,55.4,333,16.5,0.4,249.40625,"unburned","medium",2020-09-06,116.40625
"87",87,"FRCH",2020,"storm2","turb",-0.0829862268132835,0,NA,NA,NA,NA,NA,NA,"unburned","medium",NA,NA
"88",88,"FRCH",2020,"storm3a","turb",-0.440285169868704,40.6,26.6,26.8,26.8,39.5,1.02784810126582,170.989583333333,"unburned","medium",2020-06-19,37.9895833333321
"89",89,"FRCH",2020,"storm3b","turb",0.363784340820199,39.4,50.6,68.2,68.2,107.5,0.366511627906977,172.65625,"unburned","medium",2020-06-21,39.65625
"90",90,"FRCH",2020,"storm3c","turb",-0.442284550587801,0,82.8,107.4,107.4,39.5,0,177.15625,"unburned","medium",2020-06-26,44.15625
"91",91,"FRCH",2020,"storm4a","turb",-0.130282789064008,52,2.4,121.8,121.8,46.5,1.11827956989247,188.15625,"unburned","medium",2020-07-07,55.15625
"92",92,"FRCH",2020,"storm4b","turb",-0.151637050945672,9.2,53.8,174.2,174.2,50.5,0.182178217821782,190.15625,"unburned","medium",2020-07-09,57.15625
"93",93,"FRCH",2020,"storm5","turb",-0.0933841973244176,3.4,19,173.2,191.4,6.5,0.523076923076923,196.90625,"unburned","medium",2020-07-15,63.90625
"94",94,"FRCH",2020,"storm6","turb",0.00472222222221946,10,24,180.4,207.2,25.5,0.392156862745098,199.114583333333,"unburned","medium",2020-07-18,66.1145833333321
"95",95,"FRCH",2020,"storm7","turb",-0.0947721890788483,38.2,33,137.6,217.2,84.5,0.45207100591716,201.072916666667,"unburned","medium",2020-07-20,68.0729166666679
"96",96,"FRCH",2020,"storm8","turb",0.037805874608435,9,39.8,149.6,257,95.5,0.0942408376963351,206.989583333333,"unburned","medium",2020-07-25,73.9895833333321
"97",97,"FRCH",2020,"storm9a","turb",-0.35618468983488,14.8,9,145.6,266,34.5,0.428985507246377,213.15625,"unburned","medium",2020-08-01,80.15625
"98",98,"FRCH",2020,"storm9b","turb",0.00891023050047926,13,20.6,160.4,280.8,67.5,0.192592592592593,214.78125,"unburned","medium",2020-08-02,81.78125
"99",99,"VAUL",2020,"storm10","NO3",0.882503726050025,4.2,15.6,75.8,322.8,48.5,0.0865979381443299,236.979166666667,"unburned","high",2020-08-24,103.979166666668
"100",100,"VAUL",2020,"storm11","NO3",0.0606303210185113,13.6,16,75.6,323.4,99.5,0.136683417085427,238.979166666667,"unburned","high",2020-08-26,105.979166666668
"101",101,"VAUL",2020,"storm12","NO3",0.898481136697697,16.4,2.2,49.6,325,42.5,0.385882352941176,244.145833333333,"unburned","high",2020-09-01,111.145833333332
"102",102,"VAUL",2020,"storm13","NO3",0.0439948807173688,36.4,6,53.8,329.4,79.5,0.457861635220126,245.979166666667,"unburned","high",2020-09-02,112.979166666668
"103",103,"VAUL",2020,"storm14","NO3",0.688510564376545,23,7.4,51.4,332.4,56.5,0.407079646017699,249.395833333333,"unburned","high",2020-09-06,116.395833333332
"104",104,"VAUL",2020,"storm1a","NO3",0.120990170980689,6.2,2.4,2.4,2.4,26.5,0.233962264150943,169.96875,"unburned","high",2020-06-18,36.96875
"105",105,"VAUL",2020,"storm1b","NO3",0.00184932840179096,70.2,8.6,8.6,8.6,59.25,1.18481012658228,171.145833333333,"unburned","high",2020-06-20,38.1458333333321
"106",106,"VAUL",2020,"storm1c","NO3",0.0458585476550679,31.6,78.4,78.4,78.4,125.25,0.252295409181637,173.604166666667,"unburned","high",2020-06-22,40.6041666666679
"107",107,"VAUL",2020,"storm3","NO3",0.272087245178502,26,52,154.2,154.2,84.25,0.308605341246291,189.854166666667,"unburned","high",2020-07-08,56.8541666666679
"108",108,"VAUL",2020,"storm4","NO3",0.667633410672857,32.2,62.8,165,165,80.25,0.401246105919003,193.479166666667,"unburned","high",2020-07-12,60.4791666666679
"109",109,"VAUL",2020,"storm5","NO3",0.137800252844509,12.2,43,144.8,242,55.25,0.220814479638009,207.6875,"unburned","high",2020-07-26,74.6875
"110",110,"VAUL",2020,"storm6a","NO3",0.325476748878297,29.2,17.4,154,256.2,26.5,1.10188679245283,213.479166666667,"unburned","high",2020-08-01,80.4791666666679
"111",111,"VAUL",2020,"storm6b","NO3",0.0769651605202298,38.6,20.6,160.4,262.6,126.5,0.305138339920949,214.645833333333,"unburned","high",2020-08-02,81.6458333333321
"112",112,"VAUL",2020,"storm7","NO3",-0.0129104108232965,28.8,29.2,112,277,70.5,0.408510638297872,219.979166666667,"unburned","high",2020-08-07,86.9791666666679
"113",113,"VAUL",2020,"storm8","NO3",0.0712413628782469,6.4,25.4,133.4,300.8,22.5,0.284444444444444,222.979166666667,"unburned","high",2020-08-10,89.9791666666679
"114",114,"VAUL",2020,"storm9","NO3",0.515714285714284,18.6,26.4,131.8,301.8,22.5,0.826666666666667,223.979166666667,"unburned","high",2020-08-11,90.9791666666679
"115",115,"VAUL",2020,"storm10","fDOM",0.453048722768389,4.2,15.6,75.8,322.8,48.5,0.0865979381443299,236.979166666667,"unburned","high",2020-08-24,103.979166666668
"116",116,"VAUL",2020,"storm11","fDOM",0.0986327796138889,13.6,16,75.6,323.4,99.5,0.136683417085427,238.979166666667,"unburned","high",2020-08-26,105.979166666668
"117",117,"VAUL",2020,"storm12","fDOM",0.165214975638946,16.4,2.2,49.6,325,42.5,0.385882352941176,244.145833333333,"unburned","high",2020-09-01,111.145833333332
"118",118,"VAUL",2020,"storm13","fDOM",0.542451186958566,36.4,6,53.8,329.4,79.5,0.457861635220126,245.979166666667,"unburned","high",2020-09-02,112.979166666668
"119",119,"VAUL",2020,"storm14","fDOM",0.0383716140911962,23,7.4,51.4,332.4,56.5,0.407079646017699,249.395833333333,"unburned","high",2020-09-06,116.395833333332
"120",120,"VAUL",2020,"storm1a","fDOM",0.91714551000183,6.2,2.4,2.4,2.4,26.5,0.233962264150943,169.96875,"unburned","high",2020-06-18,36.96875
"121",121,"VAUL",2020,"storm1b","fDOM",-0.08676038132502,70.2,8.6,8.6,8.6,59.25,1.18481012658228,171.145833333333,"unburned","high",2020-06-20,38.1458333333321
"122",122,"VAUL",2020,"storm3","fDOM",0.222856658693737,26,52,154.2,154.2,84.25,0.308605341246291,189.854166666667,"unburned","high",2020-07-08,56.8541666666679
"123",123,"VAUL",2020,"storm4","fDOM",0.605440767272512,32.2,62.8,165,165,80.25,0.401246105919003,193.479166666667,"unburned","high",2020-07-12,60.4791666666679
"124",124,"VAUL",2020,"storm5","fDOM",0.463983379931647,12.2,43,144.8,242,55.25,0.220814479638009,207.6875,"unburned","high",2020-07-26,74.6875
"125",125,"VAUL",2020,"storm6a","fDOM",0.94026136737331,29.2,17.4,154,256.2,26.5,1.10188679245283,213.479166666667,"unburned","high",2020-08-01,80.4791666666679
"126",126,"VAUL",2020,"storm6b","fDOM",-0.18670166583277,38.6,20.6,160.4,262.6,126.5,0.305138339920949,214.645833333333,"unburned","high",2020-08-02,81.6458333333321
"127",127,"VAUL",2020,"storm7","fDOM",-8.66670886075948e-33,28.8,29.2,112,277,70.5,0.408510638297872,219.979166666667,"unburned","high",2020-08-07,86.9791666666679
"128",128,"VAUL",2020,"storm8","fDOM",-0.279891900790149,6.4,25.4,133.4,300.8,22.5,0.284444444444444,222.979166666667,"unburned","high",2020-08-10,89.9791666666679
"129",129,"VAUL",2020,"storm9","fDOM",-0.409849042121097,18.6,26.4,131.8,301.8,22.5,0.826666666666667,223.979166666667,"unburned","high",2020-08-11,90.9791666666679
"130",130,"VAUL",2020,"storm10","SPC",0.943493526442839,4.2,15.6,75.8,322.8,48.5,0.0865979381443299,236.979166666667,"unburned","high",2020-08-24,103.979166666668
"131",131,"VAUL",2020,"storm11","SPC",0.583776810191901,13.6,16,75.6,323.4,99.5,0.136683417085427,238.979166666667,"unburned","high",2020-08-26,105.979166666668
"132",132,"VAUL",2020,"storm12","SPC",0.238581146744414,16.4,2.2,49.6,325,42.5,0.385882352941176,244.145833333333,"unburned","high",2020-09-01,111.145833333332
"133",133,"VAUL",2020,"storm13","SPC",0.81959728400843,36.4,6,53.8,329.4,79.5,0.457861635220126,245.979166666667,"unburned","high",2020-09-02,112.979166666668
"134",134,"VAUL",2020,"storm14","SPC",-0.645424836601311,23,7.4,51.4,332.4,56.5,0.407079646017699,249.395833333333,"unburned","high",2020-09-06,116.395833333332
"135",135,"VAUL",2020,"storm1a","SPC",0.466092425485372,6.2,2.4,2.4,2.4,26.5,0.233962264150943,169.96875,"unburned","high",2020-06-18,36.96875
"136",136,"VAUL",2020,"storm1b","SPC",0.259074127616041,70.2,8.6,8.6,8.6,59.25,1.18481012658228,171.145833333333,"unburned","high",2020-06-20,38.1458333333321
"137",137,"VAUL",2020,"storm3","SPC",0.429284482579519,26,52,154.2,154.2,84.25,0.308605341246291,189.854166666667,"unburned","high",2020-07-08,56.8541666666679
"138",138,"VAUL",2020,"storm4","SPC",0.733263598326362,32.2,62.8,165,165,80.25,0.401246105919003,193.479166666667,"unburned","high",2020-07-12,60.4791666666679
"139",139,"VAUL",2020,"storm5","SPC",0.634136212624588,12.2,43,144.8,242,55.25,0.220814479638009,207.6875,"unburned","high",2020-07-26,74.6875
"140",140,"VAUL",2020,"storm6a","SPC",0.946800854849964,29.2,17.4,154,256.2,26.5,1.10188679245283,213.479166666667,"unburned","high",2020-08-01,80.4791666666679
"141",141,"VAUL",2020,"storm6b","SPC",0.101961966350634,38.6,20.6,160.4,262.6,126.5,0.305138339920949,214.645833333333,"unburned","high",2020-08-02,81.6458333333321
"142",142,"VAUL",2020,"storm7","SPC",-0.486911778248458,28.8,29.2,112,277,70.5,0.408510638297872,219.979166666667,"unburned","high",2020-08-07,86.9791666666679
"143",143,"VAUL",2020,"storm8","SPC",-0.572799470549305,6.4,25.4,133.4,300.8,22.5,0.284444444444444,222.979166666667,"unburned","high",2020-08-10,89.9791666666679
"144",144,"VAUL",2020,"storm9","SPC",-0.560189359783597,18.6,26.4,131.8,301.8,22.5,0.826666666666667,223.979166666667,"unburned","high",2020-08-11,90.9791666666679
"145",145,"VAUL",2020,"storm10","turb",-0.183186427501687,4.2,15.6,75.8,322.8,48.5,0.0865979381443299,236.979166666667,"unburned","high",2020-08-24,103.979166666668
"146",146,"VAUL",2020,"storm11","turb",-0.0055089511883605,13.6,16,75.6,323.4,99.5,0.136683417085427,238.979166666667,"unburned","high",2020-08-26,105.979166666668
"147",147,"VAUL",2020,"storm12","turb",-0.182934295216507,16.4,2.2,49.6,325,42.5,0.385882352941176,244.145833333333,"unburned","high",2020-09-01,111.145833333332
"148",148,"VAUL",2020,"storm13","turb",-0.185064832092018,36.4,6,53.8,329.4,79.5,0.457861635220126,245.979166666667,"unburned","high",2020-09-02,112.979166666668
"149",149,"VAUL",2020,"storm14","turb",0.0473691479077473,23,7.4,51.4,332.4,56.5,0.407079646017699,249.395833333333,"unburned","high",2020-09-06,116.395833333332
"150",150,"VAUL",2020,"storm1a","turb",-0.46035766163817,6.2,2.4,2.4,2.4,26.5,0.233962264150943,169.96875,"unburned","high",2020-06-18,36.96875
"151",151,"VAUL",2020,"storm1b","turb",0.0977969147668812,70.2,8.6,8.6,8.6,59.25,1.18481012658228,171.145833333333,"unburned","high",2020-06-20,38.1458333333321
"152",152,"VAUL",2020,"storm3","turb",-0.0913787150644441,26,52,154.2,154.2,84.25,0.308605341246291,189.854166666667,"unburned","high",2020-07-08,56.8541666666679
"153",153,"VAUL",2020,"storm4","turb",-0.194979044110738,32.2,62.8,165,165,80.25,0.401246105919003,193.479166666667,"unburned","high",2020-07-12,60.4791666666679
"154",154,"VAUL",2020,"storm5","turb",-0.2039799353178,12.2,43,144.8,242,55.25,0.220814479638009,207.6875,"unburned","high",2020-07-26,74.6875
"155",155,"VAUL",2020,"storm6a","turb",-0.314620279003077,29.2,17.4,154,256.2,26.5,1.10188679245283,213.479166666667,"unburned","high",2020-08-01,80.4791666666679
"156",156,"VAUL",2020,"storm6b","turb",0.261633470056895,38.6,20.6,160.4,262.6,126.5,0.305138339920949,214.645833333333,"unburned","high",2020-08-02,81.6458333333321
"157",157,"VAUL",2020,"storm7","turb",-9.63813507337541e-07,28.8,29.2,112,277,70.5,0.408510638297872,219.979166666667,"unburned","high",2020-08-07,86.9791666666679
"158",158,"VAUL",2020,"storm8","turb",0.344693647412605,6.4,25.4,133.4,300.8,22.5,0.284444444444444,222.979166666667,"unburned","high",2020-08-10,89.9791666666679
"159",159,"VAUL",2020,"storm9","turb",0.0967315106905017,18.6,26.4,131.8,301.8,22.5,0.826666666666667,223.979166666667,"unburned","high",2020-08-11,90.9791666666679
"160",160,"STRT",2020,"storm10","NO3",0.048959132472163,8.6,3.8,59.6,297.2,61.25,0.140408163265306,266.479166666667,"burned","high",2020-09-23,133.479166666668
"161",161,"STRT",2020,"storm1a","NO3",0.929828973843062,7.4,1.4,1.4,1.4,23.5,0.314893617021277,169.822916666667,"burned","high",2020-06-18,36.8229166666679
"162",162,"STRT",2020,"storm1b","NO3",0.780292776748821,39.2,8.6,8.6,8.6,39,1.00512820512821,170.947916666667,"burned","high",2020-06-19,37.9479166666679
