"","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","month","day","response","date","doy"
"Interpolated HI for 56% discharge...3378","68",-0.629186602870813,56,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 58% discharge...3379","68",-0.630382775119617,58,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 60% discharge...3380","68",-0.614832535885166,60,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 62% discharge...3381","68",-0.616028708133971,62,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 64% discharge...3382","68",-0.666267942583731,64,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 66% discharge...3383","68",-0.657894736842105,66,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 68% discharge...3384","68",-0.668660287081339,68,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 70% discharge...3385","68",-0.663875598086124,70,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 72% discharge...3386","68",-0.663875598086124,72,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 74% discharge...3387","68",-0.671052631578947,74,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 76% discharge...3388","68",-0.649521531100478,76,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 78% discharge...3389","68",-0.631578947368421,78,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 80% discharge...3390","68",-0.631578947368421,80,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 82% discharge...3391","68",-0.624401913875598,82,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 84% discharge...3392","68",-0.625598086124402,84,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 86% discharge...3393","68",-0.532296650717703,86,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 88% discharge...3394","68",-0.433014354066985,88,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 90% discharge...3395","68",-0.476076555023923,90,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 92% discharge...3396","68",-0.35645933014354,92,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 94% discharge...3397","68",-0.369617224880383,94,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 96% discharge...3398","68",-0.308612440191387,96,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 98% discharge...3399","68",-0.308612440191387,98,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 100% discharge...3400","68",-0.0107655502392336,100,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 2% discharge...3401","69",0.199999999999999,2,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 4% discharge...3402","69",0.149999999999999,4,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 6% discharge...3403","69",0.175000000000001,6,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 8% discharge...3404","69",0.125,8,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 10% discharge...3405","69",-0.100000000000001,10,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 12% discharge...3406","69",0.0249999999999986,12,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 14% discharge...3407","69",-0.125,14,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 16% discharge...3408","69",-0.225000000000002,16,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 18% discharge...3409","69",-0.0250000000000021,18,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 20% discharge...3410","69",-0.150000000000002,20,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 22% discharge...3411","69",-0.350000000000001,22,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 24% discharge...3412","69",-0.350000000000001,24,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 26% discharge...3413","69",-0.350000000000001,26,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 28% discharge...3414","69",-0.400000000000002,28,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 30% discharge...3415","69",-0.449999999999999,30,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 32% discharge...3416","69",-0.450000000000003,32,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 34% discharge...3417","69",-0.549999999999997,34,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 36% discharge...3418","69",-0.549999999999997,36,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 38% discharge...3419","69",-0.550000000000001,38,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 40% discharge...3420","69",-0.549999999999997,40,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 42% discharge...3421","69",-0.600000000000001,42,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 44% discharge...3422","69",-0.574999999999999,44,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 46% discharge...3423","69",-0.525000000000002,46,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 48% discharge...3424","69",-0.5,48,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 50% discharge...3425","69",-0.475000000000005,50,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 52% discharge...3426","69",-0.425000000000001,52,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 54% discharge...3427","69",-0.400000000000002,54,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 56% discharge...3428","69",-0.375000000000004,56,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 58% discharge...3429","69",-0.350000000000001,58,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 60% discharge...3430","69",-0.350000000000002,60,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 62% discharge...3431","69",-0.324999999999999,62,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 64% discharge...3432","69",-0.275000000000002,64,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 66% discharge...3433","69",-0.300000000000001,66,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 68% discharge...3434","69",-0.225000000000001,68,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 70% discharge...3435","69",-0.150000000000002,70,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 72% discharge...3436","69",-0.150000000000002,72,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 74% discharge...3437","69",-0.150000000000002,74,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 76% discharge...3438","69",-0.0500000000000007,76,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
"Interpolated HI for 78% discharge...3439","69",-0.0250000000000021,78,"POKE_storm17_08_23_SPC","POKE","storm17","08","23","SPC",2021-08-23,235
