"","Site","DateTime","MeanDischarge","day","fDOM.QSU","nitrateuM","SpCond.uScm","Turbidity.FNU"
"44","MOOS",2020-08-09 13:30:00,965.855328400925,2020-08-09,132.368181818182,25.7916666666667,101.081818181818,24.2018181818182
"45","MOOS",2020-08-09 13:45:00,968.09748722185,2020-08-09,131.916363636364,25.7625,101.172727272727,21.6227272727273
"46","MOOS",2020-08-09 14:00:00,969.61555928264,2020-08-09,131.503636363636,25.81,101.118181818182,23.8909090909091
"47","MOOS",2020-08-09 14:15:00,974.099876924476,2020-08-09,130.962727272727,25.7675,101.245454545455,22.3981818181818
"48","MOOS",2020-08-09 14:30:00,974.099876924476,2020-08-09,131.656363636364,25.7733333333333,101.2,23.48
"49","MOOS",2020-08-09 14:45:00,981.602864052751,2020-08-09,131.706363636364,25.6833333333333,101.190909090909,21.5018181818182
"50","MOOS",2020-08-09 15:00:00,981.602864052751,2020-08-09,131.505454545455,25.7091666666667,101.272727272727,22.5081818181818
"51","MOOS",2020-08-09 15:15:00,983.08598684326,2020-08-09,131.325454545455,25.7125,101.181818181818,22.7609090909091
"52","MOOS",2020-08-09 15:30:00,987.587779120222,2020-08-09,131.242727272727,25.695,101.209090909091,22.27
"53","MOOS",2020-08-09 15:45:00,990.57149933638,2020-08-09,131.62,25.7033333333333,101.245454545455,22.2272727272727
"54","MOOS",2020-08-09 16:00:00,994.314255582955,2020-08-10,131.407272727273,25.765,101.272727272727,24.7618181818182
"55","MOOS",2020-08-09 16:15:00,998.833522495086,2020-08-10,131.337272727273,25.7233333333333,101.281818181818,21.9018181818182
"56","MOOS",2020-08-09 16:30:00,1003.33531477206,2020-08-10,131.257272727273,25.76,101.345454545455,21.9772727272727
"57","MOOS",2020-08-09 16:45:00,1006.31903498824,2020-08-10,131.311818181818,25.6883333333333,101.381818181818,21.8345454545455
"58","MOOS",2020-08-09 17:00:00,1012.28647542054,2020-08-10,131,25.7008333333333,101.381818181818,22.6736363636364
"59","MOOS",2020-08-09 17:15:00,1015.27019563669,2020-08-10,131.159090909091,25.7491666666667,101.4,23.6045454545455
"60","MOOS",2020-08-09 17:30:00,1020.53102394409,2020-08-10,131.249090909091,25.745,101.427272727273,20.9072727272727
"61","MOOS",2020-08-09 17:45:00,1027.25750040682,2020-08-10,131.038181818182,25.7108333333333,101.409090909091,22.4218181818182
"62","MOOS",2020-08-09 18:00:00,1030.24122062296,2020-08-10,131.286363636364,25.7608333333333,101.481818181818,20.1309090909091
"63","MOOS",2020-08-09 18:15:00,1036.22613569045,2020-08-10,131.580909090909,25.6591666666667,101.481818181818,21.4290909090909
"64","MOOS",2020-08-09 18:30:00,1043.00503605865,2020-08-10,131.32,25.6866666666667,101.5,23.6490909090909
"65","MOOS",2020-08-09 18:45:00,1046.73031767005,2020-08-10,131.29,25.6466666666667,101.518181818182,22.0709090909091
"66","MOOS",2020-08-09 19:00:00,1054.97486619359,2020-08-10,131.319090909091,25.7,101.545454545455,22.7609090909091
"67","MOOS",2020-08-09 19:15:00,1062.46037868674,2020-08-10,131.243636363636,25.6658333333333,101.563636363636,19.8881818181818
"68","MOOS",2020-08-09 19:30:00,1069.96336581503,2020-08-10,131.465454545455,25.6333333333333,101.609090909091,20.8190909090909
"69","MOOS",2020-08-09 19:45:00,1075.22419412242,2020-08-10,131.552727272727,25.6875,101.609090909091,20.6281818181818
"70","MOOS",2020-08-09 20:00:00,1082.7271812507,2020-08-10,131.538181818182,25.6983333333333,101.636363636364,21.6154545454545
"71","MOOS",2020-08-09 20:15:00,1088.71209631818,2020-08-10,131.653636363636,25.67,101.663636363636,21.1236363636364
"72","MOOS",2020-08-09 20:30:00,1090.97172977425,2020-08-10,131.259090909091,25.6733333333333,101.681818181818,21.9754545454545
"73","MOOS",2020-08-09 20:45:00,1094.71448602082,2020-08-10,130.866363636364,25.66,101.727272727273,20.3118181818182
"74","MOOS",2020-08-09 21:00:00,1105.16624409494,2020-08-10,130.675454545455,25.6066666666667,101.727272727273,19.6318181818182
"75","MOOS",2020-08-09 21:15:00,1111.15115916243,2020-08-10,130.772727272727,25.5783333333333,101.736363636364,21.7763636363636
"76","MOOS",2020-08-09 21:30:00,1116.37703819951,2020-08-10,130.608181818182,25.5658333333333,101.727272727273,21.1118181818182
"77","MOOS",2020-08-09 21:45:00,1120.13726908123,2020-08-10,130.698181818182,25.5925,101.763636363636,21.3727272727273
"78","MOOS",2020-08-09 22:00:00,1125.39809738859,2020-08-10,130.928181818182,25.6091666666667,101.754545454545,22.8818181818182
"79","MOOS",2020-08-09 22:15:00,1129.86494039527,2020-08-10,130.621818181818,25.5875,101.8,23.2045454545455
"80","MOOS",2020-08-09 22:30:00,1127.69268011501,2020-08-10,130.259090909091,25.5641666666667,101.790909090909,19.9781818181818
"81","MOOS",2020-08-09 22:45:00,1129.26317608127,2020-08-10,129.555454545455,25.5758333333333,101.754545454545,23.4781818181818
"82","MOOS",2020-08-09 23:00:00,1143.42274113167,2020-08-10,129.285454545455,25.5491666666667,101.754545454545,22.9390909090909
"83","MOOS",2020-08-09 23:15:00,1150.92572825996,2020-08-10,128.994545454545,25.5291666666667,101.763636363636,21.2972727272727
"84","MOOS",2020-08-09 23:30:00,1150.2715400405,2020-08-10,129.200909090909,25.5025,101.754545454545,20.84
"85","MOOS",2020-08-09 23:45:00,1156.2389804728,2020-08-10,129.133636363636,25.52,101.754545454545,21.9572727272727
"86","MOOS",2020-08-10 00:00:00,1164.37868118541,2020-08-10,129.124545454545,25.5108333333333,101.736363636364,21.02
