"","Site","DateTime","Q","day","fDOM.QSU","nitrateuM","SpCond.µS.cm","Turbidity.FNU","MeanDischarge"
"97","FRCH",2020-07-21 10:45:00,1067.8666167896,2020-07-21 08:00:00,77.52,31.176,63.8636363636364,104.269090909091,1067.8666167896
"98","FRCH",2020-07-21 11:00:00,1078.41435086267,2020-07-21 08:00:00,78.5627272727273,31.062,63.8727272727273,128.702727272727,1078.41435086267
"99","FRCH",2020-07-21 11:15:00,1077.90946410714,2020-07-21 08:00:00,79.2254545454545,31.148,63.8636363636364,96.72,1077.90946410714
"100","FRCH",2020-07-21 11:30:00,1059.961994155,2020-07-21 08:00:00,79.8827272727273,31.018,63.8636363636364,98.9227272727273,1059.961994155
"101","FRCH",2020-07-21 11:45:00,1052.27317708248,2020-07-21 08:00:00,81.1409090909091,30.998,63.8636363636364,94.4990909090909,1052.27317708248
"102","FRCH",2020-07-21 12:00:00,1077.14336976009,2020-07-21 08:00:00,81.6127272727273,30.912,63.8727272727273,104.146363636364,1077.14336976009
"103","FRCH",2020-07-21 12:15:00,1054.21628655202,2020-07-21 08:00:00,-3.195,30.872,1.2,3.319,1054.21628655202
"104","FRCH",2020-07-21 12:30:00,1062.22205841995,2020-07-21 08:00:00,-3.33,30.862,1.08181818181818,1.48181818181818,1062.22205841995
"105","FRCH",2020-07-21 12:45:00,1054.27203375587,2020-07-21 08:00:00,-3.33727272727273,30.85,1.20909090909091,1.54363636363636,1054.27203375587
"106","FRCH",2020-07-21 13:00:00,1052.56225827594,2020-07-21 08:00:00,83.9890909090909,30.784,62.4727272727273,79.3009090909091,1052.56225827594
"107","FRCH",2020-07-21 13:15:00,1046.51712430517,2020-07-21 08:00:00,84.7918181818182,30.768,62.4181818181818,102.413636363636,1046.51712430517
"108","FRCH",2020-07-21 13:30:00,1041.92055822279,2020-07-21 08:00:00,84.9036363636364,30.688,62.3545454545455,92.8018181818182,1041.92055822279
"109","FRCH",2020-07-21 13:45:00,1058.80250746007,2020-07-21 08:00:00,85.2381818181818,30.752,62.2818181818182,88.0109090909091,1058.80250746007
"110","FRCH",2020-07-21 14:00:00,1034.4929487418,2020-07-21 08:00:00,86.1345454545455,30.57,62.2272727272727,78.5554545454546,1034.4929487418
"111","FRCH",2020-07-21 14:15:00,1040.24583959804,2020-07-21 08:00:00,85.6409090909091,30.608,62.1818181818182,93.9227272727273,1040.24583959804
"112","FRCH",2020-07-21 14:30:00,1051.79616392887,2020-07-21 08:00:00,86.6154545454545,30.568,62.1272727272727,78.9481818181818,1051.79616392887
"113","FRCH",2020-07-21 14:45:00,1054.41140176544,2020-07-21 08:00:00,86.3409090909091,30.57,62.0727272727273,85.8690909090909,1054.41140176544
"114","FRCH",2020-07-21 15:00:00,1039.93922997698,2020-07-21 08:00:00,86.4836363636364,30.488,61.9818181818182,87.16,1039.93922997698
"115","FRCH",2020-07-21 15:15:00,1050.84213762167,2020-07-21 08:00:00,85.7854545454545,30.442,61.9727272727273,91.8318181818182,1050.84213762167
"116","FRCH",2020-07-21 15:30:00,1040.66710554781,2020-07-21 08:00:00,86.2018181818182,30.504,61.9636363636364,88.4554545454545,1040.66710554781
"117","FRCH",2020-07-21 15:45:00,1050.2257564585,2020-07-21 08:00:00,85.9027272727273,30.41,61.9909090909091,84.3454545454545,1050.2257564585
"118","FRCH",2020-07-21 16:00:00,1034.63231675136,2020-07-21 08:00:00,87.1145454545454,30.382,62.0090909090909,84.29,1034.63231675136
"119","FRCH",2020-07-21 16:15:00,1030.11937147474,2020-07-21 08:00:00,86.1572727272727,30.382,62.0636363636364,79.4781818181818,1030.11937147474
"120","FRCH",2020-07-21 16:30:00,1030.76362623982,2020-07-21 08:00:00,86.3827272727273,30.36,62.0909090909091,83.1845454545455,1030.76362623982
"121","FRCH",2020-07-21 16:45:00,1033.3892092507,2020-07-21 08:00:00,86.8,30.326,62.1,78.6581818181818,1033.3892092507
"122","FRCH",2020-07-21 17:00:00,1021.92566764666,2020-07-21 08:00:00,86.65,30.26,62.1090909090909,90.3736363636364,1021.92566764666
"123","FRCH",2020-07-21 17:15:00,1034.41651118932,2020-07-21 08:00:00,86.3163636363636,30.264,62.1727272727273,85.6572727272727,1034.41651118932
"124","FRCH",2020-07-21 17:30:00,1021.43830931876,2020-07-21 08:00:00,86.4854545454545,30.256,62.2,88.4927272727273,1021.43830931876
"125","FRCH",2020-07-21 17:45:00,1020.20554699242,2020-07-21 08:00:00,86.5863636363636,30.256,62.2727272727273,84.0072727272727,1020.20554699242
"126","FRCH",2020-07-21 18:00:00,1007.30378267434,2020-07-21 08:00:00,85.9554545454545,30.292,62.3,101.553636363636,1007.30378267434
"127","FRCH",2020-07-21 18:15:00,1022.29836964588,2020-07-21 08:00:00,86.2054545454545,30.304,62.3636363636364,81.2518181818182,1022.29836964588
"128","FRCH",2020-07-21 18:30:00,1022.91475080905,2020-07-21 08:00:00,87.6981818181818,30.316,62.4,81.0463636363636,1022.91475080905
"129","FRCH",2020-07-21 18:45:00,1011.15178283723,2020-07-21 08:00:00,87.6472727272727,30.282,62.4818181818182,76.1381818181818,1011.15178283723
