"","Site","DateTime","Q","day","fDOM.QSU","nitrateuM","SpCond.µS.cm","Turbidity.FNU","MeanDischarge"
"98","FRCH",2020-08-10 11:00:00,956.773450702298,2020-08-10 08:00:00,65.9490909090909,33.706,73.6727272727273,141.668181818182,956.773450702298
"99","FRCH",2020-08-10 11:15:00,961.519729968568,2020-08-10 08:00:00,66.2727272727273,32.686,73.4272727272727,140.576363636364,961.519729968568
"100","FRCH",2020-08-10 11:30:00,957.306211059724,2020-08-10 08:00:00,66.4290909090909,32.61,73.3,145.245454545455,957.306211059724
"101","FRCH",2020-08-10 11:45:00,957.334084661648,2020-08-10 08:00:00,64.6890909090909,32.152,73.2181818181818,150.037272727273,957.334084661648
"102","FRCH",2020-08-10 12:00:00,942.673980913038,2020-08-10 08:00:00,62.9745454545455,32.142,73.1909090909091,154.473636363636,942.673980913038
"103","FRCH",2020-08-10 12:15:00,950.728316731533,2020-08-10 08:00:00,61.7990909090909,31.388,73.2,179.013636363636,950.728316731533
"104","FRCH",2020-08-10 12:30:00,946.187497852996,2020-08-10 08:00:00,60.4618181818182,31.4,73.2272727272727,168.129090909091,946.187497852996
"105","FRCH",2020-08-10 12:45:00,939.964777096407,2020-08-10 08:00:00,61.0909090909091,31.476,73.2181818181818,215.468181818182,939.964777096407
"106","FRCH",2020-08-10 13:00:00,941.086045015079,2020-08-10 08:00:00,60.9154545454545,30.868,73.1,192.880909090909,941.086045015079
"107","FRCH",2020-08-10 13:15:00,940.170237484141,2020-08-10 08:00:00,61.8845454545455,30.644,72.9,182.351818181818,940.170237484141
"108","FRCH",2020-08-10 13:30:00,936.423386554568,2020-08-10 08:00:00,61.9445454545455,31.11,72.6818181818182,201.326363636364,936.423386554568
"109","FRCH",2020-08-10 13:45:00,928.351522308498,2020-08-10 08:00:00,60.9918181818182,30.79,72.4818181818182,181.420909090909,928.351522308498
"110","FRCH",2020-08-10 14:00:00,931.116473328962,2020-08-10 08:00:00,60.8218181818182,30.848,72.3545454545455,200.795454545455,931.116473328962
