"","storm.num","TOTAL.TIME","site.ID","year","response","HI","precip","precip.week","precip.month","ThreeMonth","Intensity","doy","burn","pf"
"23","storm1",41.7333333333333,"CARI",2020,"SPC",0.561176836861768,10.922,0.127,0.127,0.127,0.261709265175719,166.625,"burned","medium"
"24","storm2a",25.9666666666667,"CARI",2020,"SPC",0.567007086285952,46.484,10.922,10.922,10.922,1.79014120667522,170.490277777778,"burned","medium"
"25","storm2b",23.9666666666667,"CARI",2020,"SPC",0.453636363636364,37.084,57.406,57.406,57.406,1.5473157162726,171.573611111111,"burned","medium"
"26","storm2c",38.9666666666667,"CARI",2020,"SPC",-0.433030949839915,12.954,89.029,94.49,94.49,0.332437981180496,172.573611111111,"burned","medium"
"27","storm3",69.9666666666667,"CARI",2020,"SPC",0.0702033598585323,30.226,77.217,107.444,107.444,0.432005717008099,174.281944444444,"burned","medium"
"28","storm4",38.9666666666667,"CARI",2020,"SPC",0.0981152993348114,15.24,33.909,137.67,137.67,0.391103507271172,190.406944444444,"burned","medium"
"29","storm5",54.9666666666667,"CARI",2020,"SPC",0.5952787258248,29.972,30.48,152.91,152.91,0.545275924802911,194.198611111111,"burned","medium"
"30","storm6",45.9666666666667,"CARI",2020,"SPC",0.480987055016182,16.764,37.592,182.882,182.882,0.36469905728789,205.573611111111,"burned","medium"
"31","storm7",76.9666666666667,"CARI",2020,"SPC",0.111305565278264,32.258,34.29,194.439,199.646,0.419116500649632,208.281944444444,"burned","medium"
"32","storm8a",27.9666666666667,"CARI",2020,"SPC",0.593135111499781,23.876,32.258,145.669,231.904,0.85373063170441,214.031944444444,"burned","medium"
"33","storm8b",119.966666666667,"CARI",2020,"SPC",0.494258153422141,82.55,40.132,155.575,255.78,0.688107807724368,215.198611111111,"burned","medium"
"34","storm9",24.9666666666667,"CARI",2020,"SPC",0.329861111111111,21.59,41.275,185.42,338.33,0.86475300400534,250.031944444444,"burned","medium"
"35","storm1",41.7333333333333,"CARI",2020,"turb",-0.00047655442161579,10.922,0.127,0.127,0.127,0.261709265175719,166.625,"burned","medium"
"36","storm2a",25.9666666666667,"CARI",2020,"turb",0.00117803390852802,46.484,10.922,10.922,10.922,1.79014120667522,170.490277777778,"burned","medium"
"37","storm2b",23.9666666666667,"CARI",2020,"turb",0.000835979085012066,37.084,57.406,57.406,57.406,1.5473157162726,171.573611111111,"burned","medium"
"38","storm2c",38.9666666666667,"CARI",2020,"turb",0.145365168539326,12.954,89.029,94.49,94.49,0.332437981180496,172.573611111111,"burned","medium"
"39","storm3",69.9666666666667,"CARI",2020,"turb",-0.0817833698030634,30.226,77.217,107.444,107.444,0.432005717008099,174.281944444444,"burned","medium"
"40","storm4",38.9666666666667,"CARI",2020,"turb",0.00878378378378378,15.24,33.909,137.67,137.67,0.391103507271172,190.406944444444,"burned","medium"
"41","storm5",54.9666666666667,"CARI",2020,"turb",-0.117152466367713,29.972,30.48,152.91,152.91,0.545275924802911,194.198611111111,"burned","medium"
"42","storm6",45.9666666666667,"CARI",2020,"turb",-0.197397563676633,16.764,37.592,182.882,182.882,0.36469905728789,205.573611111111,"burned","medium"
"43","storm7",76.9666666666667,"CARI",2020,"turb",0.00205615641852197,32.258,34.29,194.439,199.646,0.419116500649632,208.281944444444,"burned","medium"
"44","storm8a",27.9666666666667,"CARI",2020,"turb",4.39660712571935e-06,23.876,32.258,145.669,231.904,0.85373063170441,214.031944444444,"burned","medium"
"45","storm8b",119.966666666667,"CARI",2020,"turb",0.00395607654792856,82.55,40.132,155.575,255.78,0.688107807724368,215.198611111111,"burned","medium"
"46","storm9",24.9666666666667,"CARI",2020,"turb",-0.000803600128576021,21.59,41.275,185.42,338.33,0.86475300400534,250.031944444444,"burned","medium"
